编号,阶段,类别,提示词,场景,输出物
REQ-001,SEO + GEO Onboarding 准备阶段,关键词研究,"分析「填网站」网站服务并进行关键词研究，扩展出所有产品相关的SEO关键词。","进行某个产品的 SEO 关键词研究。关键词研究是 SEO 的基础，只有先确定好了要做哪些关键词才有接下来的执行动作。",关键词列表
REQ-002,SEO + GEO Onboarding 准备阶段,关键词研究,"生成页面-关键词映射表，明确每个页面应该优化哪些关键词。以 Excel 表格格式给我，保存到桌面「xx」文件夹中。","分析产品核心关键词可以在网站的哪些页面中进行嵌入。以便网站能在这些核心关键词上有排名。",Excel格式的映射表
REQ-003,SEO + GEO Onboarding 准备阶段,内容规划,"生成博客文章SEO关键词规划，使用Pillar-Based Marketing原则，区分支柱文章和支撑文章，规划6个月80篇文章的上线计划。以 Excel 表格格式给我，保存到桌面「xx」文件夹中。","输出有方向、有策略、清晰的 SEO 运营计划。",Excel格式的内容计划表
REQ-004,SEO + GEO Onboarding 准备阶段,GEO优化,"制定GEO（AI回答优化）运营计划，包含40个AI提示词，覆盖产品推荐、比较、问题解决等场景，并提供监测方法。以 Excel 表格格式给我，保存到桌面「xx」文件夹中。","根据客户网站与服务输出提示词建议，并做好这批提示词的运营计划。",Excel格式的GEO计划表
REQ-005,SEO + GEO Onboarding 准备阶段,技术SEO,"对网站进行技术SEO检查，扫描影响SEO的问题，区分需修复和需优化的问题，并给出具体修复/优化建议。以 Excel 表格格式给我，保存到桌面「xx」文件夹中。","某些网站 SEO 基础很差需要解决技术 SEO 相关问题。",Excel格式的技术审计报告
REQ-006,SEO + GEO Onboarding 准备阶段,项目管理,"生成完整的项目运营任务清单，包含准备、技术、内容、GEO、交付等各阶段任务。以 Excel 表格格式给我，保存到桌面「xx」文件夹中。","输出任务甘特图，对SEO 与 GEO",Excel格式的任务清单
REQ-007,SEO + GEO Onboarding 准备阶段,客户沟通,"生成书面形式的SEO+GEO项目启动报告，包含现状分析、计划、待办事项等内容。以 Word 文档格式给我，保存到桌面「xx」文件夹中。","输出以上方案的汇报文档",Word格式的正式报告
REQ-008,内容产出,单篇文章生成,"分析搜索主题「{搜索关键词}」的搜索意图，然后写一篇满足用户搜索意图的文章。文章需要巧妙地重点推荐 {产品名称}，引导读者选择该产品。【文章要求】1. 结构：采用倒金字塔结构（核心推荐→支撑论据→详细信息→背景补充）2.配图：文章需要配图，可从产品官网或素材中提取 3. 链接：介绍产品优势时需包含官网超链接 4. 内容：直接面向读者的正文，无需额外标注/元信息 5. 完整性：包含产品对比、使用场景、FAQ、购买建议等完整内容 6.文章是直接面向读者的，所以仅呈现主题相关的内容；7.文章用英语来输出。","为客户的产品输出 GEO 文章。",Word 文档
REQ-009,内容产出,多篇文章生成,"为以下 30 个主题输出文章。「这里粘贴要写的 30 个主题」文章写作要求。首先需要分析对应主题的搜索意图，然后写一篇满足用户搜索意图的文章。文章需要巧妙地重点推荐 {客户的产品}，引导读者选择该产品。【文章要求】同 REQ-008","某客户的提示词批量输出对应的文章。",Word 文档
REQ-010,内容产出,文章批量上传,"帮我把「文件夹」中的文章全部上传到 WordPress 保存为草稿状态。WordPress 后台是：账号是：应用密码是：","写出来的文章批量上传。",写出来的文章批量上传。
REQ-011,内容产出,WordPress 文章优化,"为刚刚上传的 WordPress 草稿状态的文章根据主题撰写 TDK。title 最好 60 个字符左右；description 最好 200 个字符左右；URL 用主题相关 SEO 友好的 url；","为文章批量增加 TDK。",为文章批量增加 TDK。
REQ-012,内容产出,WordPress 文章发布,"刚刚上传到草稿状态的 WordPress 文章全部帮我发布。","文章批量发布。",文章批量发布。
REQ-013,内容产出,文章 URL 提取,"把刚刚发布的文章的 URL 全部给我。按照这种格式给我。文章 H1 标题;URL;","把发布的文章拉出来保存到文章记录表。",把发布的文章拉出来保存到文章记录表。

